source,mode,run_id,run_family,target_request_rate,request_count,good_requests,request_throughput_reqs_per_sec,goodput_reqs_per_sec,output_token_throughput_tokens_per_sec,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns
calibrated,colocated,rate_sweep_near_knee__colocated__sharegpt_seed_1__rps_0_375__seed_1,rate_sweep_near_knee,0.375,1000,1000,0.3742106071762405,0.3742106071762405,95.79791543711757,74002917.025,121871509.0,22495016.803,5832727344.853,6019793123.0
simulation,colocated,rate_sweep_near_knee__colocated__sharegpt_seed_1__rps_0_375__seed_1,rate_sweep_near_knee,0.375,1000,1000,0.3742106071762389,0.3742106071762389,95.79791543711715,79093174.86,140176134.0,21246845.71940625,5518285679.028,5800442397.0
calibrated,colocated,service_baseline_long_long__colocated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.17693792680113218,0.17693792680113218,45.29610926108984,107125220.66666667,155703997.0,21571241.466666665,5629363157.533334,5668973519.0
simulation,colocated,service_baseline_long_long__colocated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.176937926801125,0.176937926801125,45.296109261088,104532457.2,104642190.0,20709165.0,5406078697.2,5406188430.0
calibrated,colocated,service_baseline_long_short__colocated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.9858743553983227,0.9858743553983227,15.773989686373163,105564018.7,159153044.0,20192840.3,428649471.9,472692149.0
simulation,colocated,service_baseline_long_short__colocated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.9858743553970329,0.9858743553970329,15.773989686352527,106740836.1,123915592.0,21144697.854166668,445056001.76666665,559767256.0
calibrated,colocated,service_baseline_short_long__colocated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.1804381607594628,0.1804381607594628,46.19216915442248,46422418.56666667,97150965.0,21380033.0,5519710997.833333,5561675880.0
simulation,colocated,service_baseline_short_long__colocated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.18043816075946761,0.18043816075946761,46.19216915442371,69417961.2,69527694.0,20709165.0,5370964201.2,5371073934.0
calibrated,colocated,service_baseline_short_short__colocated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.9880284938024829,0.9880284938024829,15.808455900839727,45192790.6,96714543.0,20077261.133333333,366428974.6333333,409547432.0
simulation,colocated,service_baseline_short_short__colocated__sharegpt_seed_0__rps_1__seed_0,service_baseline,1.0,30,30,0.9880284938024755,0.9880284938024755,15.808455900839608,71385571.56666666,87049559.0,21432745.033333335,414309492.1,484223259.0
calibrated,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_0_5__seed_0,pilot_rate_sweep,0.5,1000,1000,0.4985651601465584,0.4985651601465584,127.63268099751895,125612004.996,176291821.0,22918176.067,5918310809.737,6094516112.0
simulation,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_0_5__seed_0,pilot_rate_sweep,0.5,1000,1000,0.4985651601465603,0.4985651601465603,127.63268099751944,140014283.409,179271488.0,22916480.0,5928410291.253,5966908308.0
calibrated,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_16__seed_0,pilot_rate_sweep,16.0,1000,146,11.508463367903316,1.6802356517138841,2946.166622183249,8248026552.032,17080854640.0,71269805.133,18338036486.132,26193842723.0
simulation,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_16__seed_0,pilot_rate_sweep,16.0,1000,146,11.508463367905826,1.6802356517142505,2946.1666221838914,8275059961.534,16838072248.0,70197700.1953125,18085990269.824,23788977946.0
calibrated,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,pilot_rate_sweep,1.0,1000,1000,0.994210313170782,0.994210313170782,254.5178401717202,129606765.167,198276823.0,23358141.83,6032058506.216,6254077677.0
simulation,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_1__seed_0,pilot_rate_sweep,1.0,1000,1000,0.9942103131707902,0.9942103131707902,254.5178401717223,143022102.571,185392765.0,23266404.0,6019360149.683,6061663453.0
calibrated,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_2__seed_0,pilot_rate_sweep,2.0,1000,1000,1.9764450267761398,1.9764450267761398,505.9699268546918,135111039.529,209828503.0,24593466.763,6349603653.975,6836389769.0
simulation,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_2__seed_0,pilot_rate_sweep,2.0,1000,1000,1.9764450267761493,1.9764450267761493,505.9699268546942,150095891.71,206469312.0,24593467.0,6361077553.199,6417453661.0
calibrated,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_4__seed_0,pilot_rate_sweep,4.0,1000,1000,3.9019301041963232,3.9019301041963232,998.8941066742588,151797405.743,248890805.0,27835110.449,7184315565.981,7637067803.0
simulation,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_4__seed_0,pilot_rate_sweep,4.0,1000,997,3.890224313884149,3.890224313884149,995.8974243543421,166357971.313,240180900.0,27835111.0,7195347715.515,7268138839.0
calibrated,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_8__seed_0,pilot_rate_sweep,8.0,1000,1000,7.577880977461978,7.577880977461978,1939.9375302302665,183568074.572,319149654.0,33524886.791,8650522141.196,9269677055.0
simulation,pd_disaggregated,pilot_rate_sweep__pd_disaggregated__sharegpt_seed_0__rps_8__seed_0,pilot_rate_sweep,8.0,1000,986,7.4717906437759485,7.4717906437759485,1912.7784048066428,199169897.904,285921454.0,33524887.0,8661988333.429,8748383639.0
calibrated,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_25__seed_0,rate_sweep_near_knee,0.25,1000,1000,0.24964763749057606,0.24964763749057606,63.90979519758747,122476425.256,173513023.0,22543641.195,5822254785.18,6010744607.0
simulation,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_25__seed_0,rate_sweep_near_knee,0.25,1000,1000,0.24964763749057572,0.24964763749057572,63.909795197587385,134250903.123,172661581.0,22534106.0,5827556379.91,5865350991.0
calibrated,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_375__seed_0,rate_sweep_near_knee,0.375,1000,1000,0.3741967498398878,0.3741967498398878,95.79436795901128,124755754.091,173595583.0,22736852.842,5871927534.94,6043724276.0
simulation,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_375__seed_0,rate_sweep_near_knee,0.375,1000,1000,0.37419674983988577,0.37419674983988577,95.79436795901076,138022476.147,176694035.0,22736853.0,5881566413.898,5920257523.0
calibrated,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_5__seed_0,rate_sweep_near_knee,0.5,1000,1000,0.4985634561162089,0.4985634561162089,127.63224476574948,126137695.675,176486305.0,22914782.897,5917447906.716,6087904129.0
simulation,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_5__seed_0,rate_sweep_near_knee,0.5,1000,1000,0.4985634561162207,0.4985634561162207,127.6322447657525,140016567.313,179838272.0,22916480.0,5928412575.157,5967821716.0
calibrated,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_625__seed_0,rate_sweep_near_knee,0.625,1000,1000,0.6227522244155879,0.6227522244155879,159.4245694503905,127505474.658,182171936.0,23031873.769,5948025024.729,6122619809.0
simulation,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_625__seed_0,rate_sweep_near_knee,0.625,1000,1000,0.6227522244155855,0.6227522244155855,159.4245694503899,141477268.99,180082868.0,23031874.0,5958384801.99,5996990401.0
calibrated,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_75__seed_0,rate_sweep_near_knee,0.75,1000,1000,0.7467570071476035,0.7467570071476035,191.1697938297865,128650718.319,184468037.0,23152844.674,5979114406.221,6166636342.0
simulation,pd_disaggregated,rate_sweep_near_knee__pd_disaggregated__sharegpt_seed_0__rps_0_75__seed_0,rate_sweep_near_knee,0.75,1000,1000,0.7467570071475864,0.7467570071475864,191.16979382978212,143323283.243,184028453.0,23152845.0,5990181377.077,6030998095.0
