target,axis,side,request_rate_per_second,prompt_tokens,output_tokens,winner,runner_up,deciding_tier,winner_slo_attainment_fraction,winner_goodput_reqs_per_sec,winner_e2e_mean_ms,runner_up_e2e_mean_ms,winner_e2e_margin_ms,best_pd,best_pd_minus_c4_e2e_ms
P1/D3,output,before,8,128,512,C4,P1/D3,E2E,1.0,6.070212136822741,11921.558267136717,13204.304529386718,1282.7462622500007,P1/D3,1282.7462622500007
P1/D3,output,after,8,128,1024,P1/D3,C4,E2E,1.0,4.4262965192874795,26350.731292167966,26745.10420271875,394.3729105507846,P1/D3,-394.3729105507846
P2/D2,prompt,before,8,2048,64,C4,P2/D2,E2E,1.0,7.731465987789188,1980.2957381796873,1983.0789797734374,2.7832415937500627,P2/D2,2.7832415937500627
P2/D2,prompt,after,8,3072,64,P2/D2,C4,E2E,1.0,7.6012970624555845,2145.6360013203125,2274.7324271523435,129.09642583203095,P2/D2,-129.09642583203095
P3/D1,prompt,before,8,3072,32,C4,P2/D2,E2E,1.0,7.907427504777919,1229.9264859375,1255.6640523632811,25.737566425781097,P2/D2,25.737566425781097
P3/D1,prompt,after,8,4096,32,P3/D1,C4,E2E,1.0,7.779404953638427,1424.8217752539063,1452.4567628007812,27.63498754687498,P3/D1,-27.63498754687498
