case_name,source_summary,architecture,scale_family,calibration_scope,server_gpu_count,colocated_gpu_count,prefill_gpu_count,decode_gpu_count,total_gpu_count,prefill_layout_name,decode_layout_name,prefill_tp_degree,decode_tp_degree,prefill_pp_degree,decode_pp_degree,prefill_ep_degree,decode_ep_degree,prefill_dp_attention_degree,decode_dp_attention_degree,target_request_rate_per_second,trace_request_rate_per_second,trace_num_requests,prompt_tokens_distribution,prompt_tokens_min,prompt_tokens_max,prompt_tokens_mean,output_tokens_distribution,output_tokens_min,output_tokens_max,output_tokens_mean,pressure_family,assignment,num_requests,total_prompt_tokens,total_output_tokens,makespan_ns,request_throughput_reqs_per_sec,output_token_throughput_tokens_per_sec,queue_delay_mean_ns,prefill_queue_delay_mean_ns,decode_queue_delay_mean_ns,transfer_duration_mean_ns,ttft_mean_ns,ttft_p99_ns,tpot_mean_ns,e2e_mean_ns,e2e_p99_ns,good_requests,bad_requests,slo_attainment_fraction,goodput_reqs_per_sec,runtime_seed,trace_seed,request_config_path,binary
c4__chunk_0064__rps_04__in_10000__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_10000__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,10000,10000,10000.0,uniform,2048,2048,2048.0,,C4,256,2560000,524288,374875109934,0.6828940978371997,1398.567112370585,132877042041.14062,132877042041.14062,70152188218.5,0.0,207584014736.64062,300896748631.0,20709165.0,249967547806.64062,343280281701.0,0,256,0.0,0.0,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0064__rps_04__in_10000__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_00128__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00128__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,128,128,128.0,uniform,2048,2048,2048.0,,C4,256,32768,524288,115405383123,2.218267407224437,4543.011649995647,6477260572.1953125,6477260572.1953125,0.0,0.0,6536781749.1953125,15630757719.0,21057510.020874023,49633725421.94531,58658661656.0,128,128,0.5,1.1091337036122184,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00128__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_00256__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00256__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,256,256,256.0,uniform,2048,2048,2048.0,,C4,256,65536,524288,116416558461,2.1989998964430906,4503.5517879154495,6969123981.2109375,6969123981.2109375,0.0,0.0,7059329485.2109375,16639546305.0,21405855.041748047,50869683760.71094,60309722985.0,128,128,0.5,1.0994999482215453,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00256__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_00512__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00512__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,512,512,512.0,uniform,2048,2048,2048.0,,C4,256,131072,524288,118459085808,2.1610837045874898,4425.899426995179,7950909315.0234375,7950909315.0234375,0.0,0.0,8102483473.0234375,18657123477.0,22102545.083496094,53339658954.02344,63616041891.0,128,128,0.5,1.0805418522937449,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_00512__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_01024__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_01024__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,1024,1024,1024.0,uniform,2048,2048,2048.0,,C4,256,262144,524288,122503787160,2.089731313087023,4279.769729202223,9915127144.054688,9915127144.054688,7671081.75,0.0,10197109691.804688,22712986986.0,23490306.698913574,58276420961.17969,70280551838.0,128,128,0.5,1.0448656565435115,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_01024__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_01536__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_01536__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,1536,1536,1536.0,uniform,2048,2048,2048.0,,C4,256,393216,524288,126549021006,2.022931492989285,4142.963697642056,11883875102.929688,11883875102.929688,25889900.90625,0.0,12306813777.835938,26768850495.0,24870342.92072296,63212439229.47656,77622129232.0,128,128,0.5,1.0114657464946426,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_01536__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_02048__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_02048__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,2048,2048,2048.0,uniform,2048,2048,2048.0,,C4,256,524288,524288,130696735689,1.9587329297126896,4011.4850400515884,13864433757.46875,13864433757.46875,126572848.875,0.0,14510792688.34375,31056950631.0,26189980.610687256,68119036129.03125,85422492211.0,128,128,0.5,0.9793664648563448,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_02048__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_03072__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_03072__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,3072,3072,3072.0,uniform,2048,2048,2048.0,,C4,256,786432,524288,139241740023,1.8385291648733622,3765.3077296606457,18059823495.609375,18059823495.609375,1927359289.6875,0.0,20752443483.296875,45368717542.0,27657805.396224976,77366792084.76562,101045391683.0,5,251,0.01953125,0.03590877275143285,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_03072__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_04096__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_04096__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,4096,4096,4096.0,uniform,2048,2048,2048.0,,C4,256,1048576,524288,150520354137,1.7007666602152356,3483.1701201208025,22830216143.203125,22830216143.203125,5576876432.25,0.0,29417827889.453125,63414273111.0,27771579.374816895,86265185599.07812,116755767107.0,0,256,0.0,0.0,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_04096__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
c4__chunk_0128__rps_04__in_06144__out_2048,build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_06144__out_2048/summary.json,colocated_chunked,chunked_colocated_4gpu_chunk_size_sweep,chunked_extrapolated,4,4,,,4,,,,,,,,,,,4,4,256,uniform,6144,6144,6144.0,uniform,2048,2048,2048.0,,C4,256,1572864,524288,179497423515,1.426204315287049,2920.8664377078762,36709409715.53906,36709409715.53906,22472433986.625,0.0,60683528248.16406,105498353047.0,20970423.765655518,103602119270.22656,147881886117.0,0,256,0.0,0.0,23,13,/home/justin/astra-sim/build/chunked_rps4_experiment/20260609T014844Z/sweeps/c4_chunk_size/c4__chunk_0128__rps_04__in_06144__out_2048/request.json,/home/justin/astra-sim/build/astra_analytical/build/bin/AstraSim_Analytical_Congestion_Aware
